Class: 5, Confidence: 0.98, Box: (409, 175, 22, 24), Color: Red
Class: 8, Confidence: 0.94, Box: (127, 183, 25, 28), Color: Blue
Class: 7, Confidence: 0.94, Box: (270, 181, 22, 25), Color: Green
Class: 5, Confidence: 0.98, Box: (409, 175, 22, 24), Color: Red
Class: 8, Confidence: 0.94, Box: (127, 183, 25, 28), Color: Blue
Class: 7, Confidence: 0.94, Box: (270, 181, 22, 25), Color: Green
Class: 5, Confidence: 0.98, Box: (409, 175, 22, 24), Color: Red
Class: 8, Confidence: 0.94, Box: (127, 183, 25, 28), Color: Blue
Class: 7, Confidence: 0.94, Box: (270, 181, 22, 25), Color: Green
Class: 8, Confidence: 0.94, Box: (254, 160, 27, 34), Color: Unknown
Class: 8, Confidence: 0.90, Box: (270, 172, 27, 34), Color: Unknown
Class: 8, Confidence: 0.97, Box: (273, 178, 27, 31), Color: Red
Class: 8, Confidence: 0.95, Box: (266, 170, 27, 34), Color: Red
Class: 8, Confidence: 0.96, Box: (265, 161, 28, 34), Color: Red
Class: 8, Confidence: 0.98, Box: (264, 152, 28, 35), Color: Red
Class: 8, Confidence: 0.98, Box: (266, 157, 28, 35), Color: Red
Class: 8, Confidence: 0.97, Box: (264, 166, 29, 33), Color: Red
Class: 8, Confidence: 0.97, Box: (268, 157, 28, 35), Color: Red
Class: 8, Confidence: 0.98, Box: (266, 156, 28, 36), Color: Red
Class: 8, Confidence: 0.98, Box: (266, 156, 28, 36), Color: Red
Class: 8, Confidence: 0.95, Box: (265, 156, 28, 36), Color: Red
Class: 8, Confidence: 0.97, Box: (266, 155, 28, 36), Color: Red
Class: 8, Confidence: 0.98, Box: (266, 157, 29, 35), Color: Red
Class: 8, Confidence: 0.98, Box: (266, 160, 29, 35), Color: Red
Class: 8, Confidence: 0.96, Box: (261, 161, 30, 34), Color: Red
Class: 8, Confidence: 0.97, Box: (257, 163, 29, 33), Color: Red
Class: 8, Confidence: 0.96, Box: (257, 164, 30, 33), Color: Red
Class: 8, Confidence: 0.98, Box: (258, 165, 30, 34), Color: Red
Class: 8, Confidence: 0.98, Box: (258, 165, 30, 34), Color: Red
Class: 8, Confidence: 0.98, Box: (259, 165, 31, 34), Color: Red
Class: 8, Confidence: 0.98, Box: (259, 163, 30, 34), Color: Red
Class: 8, Confidence: 0.98, Box: (258, 163, 30, 34), Color: Red
Class: 8, Confidence: 0.97, Box: (257, 162, 30, 33), Color: Red
Class: 8, Confidence: 0.96, Box: (257, 162, 30, 33), Color: Red
Class: 8, Confidence: 0.98, Box: (252, 157, 29, 38), Color: Red
Class: 8, Confidence: 0.95, Box: (249, 157, 30, 36), Color: Red
Class: 8, Confidence: 0.96, Box: (246, 157, 30, 36), Color: Red
Class: 8, Confidence: 0.97, Box: (245, 155, 30, 37), Color: Red
Class: 8, Confidence: 0.97, Box: (244, 156, 29, 37), Color: Red
Class: 8, Confidence: 0.97, Box: (242, 153, 30, 38), Color: Red
Class: 8, Confidence: 0.94, Box: (244, 152, 29, 37), Color: Red
Class: 8, Confidence: 0.96, Box: (239, 157, 30, 36), Color: Red
Class: 4, Confidence: 0.92, Box: (387, 216, 26, 26), Color: Green
Class: 2, Confidence: 0.89, Box: (148, 209, 25, 26), Color: Red
